#FILE	NUM_FOUND	NlpI_gi_218560235	afaC/draC/daaC_VFG045796	ag43-MS7163	ag43a_CFT073	aufC_ECS88_3823	cdtB_gi_117623644	chuA_gi_26250130	cirA_AE016763_105	cjrC_UTI89_RS25305	clbB_gi_112292718	cnf1_gi_403299	csgE_gi_15801156	ecpC_gi_15799996	eibC_gi_7523529	eibE_gi_7523541	eibG_gi_299150344	eitB_APECO1_RS26190	entS_gi_26246570	fecA_b4291	fepA_gi_26246561	fhuA_b0150	fhuE_b1102	fimD_gi_15804892	fiu_c0890	fliC(H1)_L07387.1	fliC(H4)_AJ536600.1	fliC(H7)_AF228487.1	focH_gi_386638502	fyuA_gi_26248288	hbp/tsh_gi_3288154	hlyA_gi_386641997	hlyF_APECO1_O1CoBM189	hma_gi_26248334	hra1_AAC13751	ibeA_gi_18152905	ibeB_gi_4835717	iha_gi_78057505	ireA_gi_26250982	iroN_gi_26247124	iss_SPG000143	iutA_gi_26249458	kpsD_gi_409035	nhaA_GeneID:944758	ompA_gi_7188818	ompT_SPG000077	papC_gi_26249425	papGIII_ABE1029	papGII_AAN82031	papGI_ELL40467	pic_gi_387610008	pixC_gi_30524679	sat_gi_26249454	sfaH_gi_91210144	sisA_AE016766_93	sitA_gi_386618823	tcpC_gi_26248250	tosA_c0363	traJ_gi_150860	traT_SPG000097	uclC_ABE10308	upaB_ECP_0379	upaC/ehaB_VFG045825	upaE_c2895	upaG/ehaG_beta	upaI_ECP_2276	usp_gi_386617620	vat_gi_386605757	yadV_b0140	ydeT_AE016760_251	yehC_b2110	yfcV_b2339	yqiH_c3793	znuB_AAC74929
ESC_HA1140AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1143AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1171AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	.	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1181AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	99.96	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1199AA_AS_abricate.tsv	18	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	.	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1219AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1227AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1364AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	87.17	.	.	.	.	.	.	.	.	.	.	.	85.76	.	.	.	.	98.86	.	100.00	99.42	.	.	.	.	.	.	.	100.00	.	98.95	100.00	.	.	.	.	.	.	.	.	100.00	94.98	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1532AA_AS_abricate.tsv	28	100.00	.	100.00;100.00	82.23	.	.	.	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	97.41	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	83.20	.	.	.	.	100.00	98.80	.	.	100.00	99.96	100.00	100.00	.	100.00
ESC_HA1554AA_AS_abricate.tsv	18	100.00	.	100.00	.	.	.	.	99.45	100.00	.	.	.	.	.	.	.	.	100.00	99.74	100.00	.	.	.	86.86	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	80.42	.	.	100.00	.	100.00	.	.	100.00
ESC_HA1603AA_AS_abricate.tsv	26	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	94.84	.	99.93	.	.	.	99.68	99.96	.	100.00	100.00	.	100.00	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	99.76	.	.	100.00	.	100.00	.	.	100.00
ESC_HA1639AA_AS_abricate.tsv	28	100.00	100.00	.	.	.	.	100.00	99.40	100.00	.	.	100.00	100.00	.	.	.	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	99.95	94.59	.	100.00	.	.	.	99.68	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	80.75	93.18	.	.	.	.	.	.	.	.	100.00	99.10	.	.	.	100.00	100.00	.	.	100.00
ESC_HA1648AA_AS_abricate.tsv	37	100.00	.	86.48	85.39	.	.	100.00	99.40	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.47	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	99.83	100.00	.	.	96.55	.	100.00	98.73	.	.	.	100.00	100.00	.	.	100.00
ESC_HA1652AA_AS_abricate.tsv	49	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	100.00	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	99.93	.	100.00	.	100.00	100.00	100.00	.	.	.	.	99.74	100.00	99.97	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_HA1730AA_AS_abricate.tsv	39	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	100.00	.	99.93	100.00	.	.	100.00	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	85.21	.	.	100.00	.	100.00	.	.	99.83	100.00	.	.	.	.	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_HA1737AA_AS_abricate.tsv	25	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	86.46	100.00	.	.	100.00	100.00	.	.	.	.	.	.	98.33	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1763AA_AS_abricate.tsv	19	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	99.96	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.76	.	.	100.00	.	.	100.00	.	100.00
ESC_HA1765AA_AS_abricate.tsv	27	100.00	.	81.60	80.57	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	.	.	.	.	.	100.00	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	96.62	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1779AA_AS_abricate.tsv	23	100.00	.	99.84	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	99.68	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	99.28	.	.	100.00	.	.	100.00	.	100.00
ESC_HA1780AA_AS_abricate.tsv	33	100.00	.	100.00	.	.	.	100.00	99.40	.	.	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	.	.	.	100.00	100.00	.	100.00	.	.	.	.	100.00	100.00	.	100.00	99.68	.	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	80.17;80.94	.	.	.	.	.	100.00	99.74	.	.	.	99.79	.	.	.	100.00	100.00	100.00	.	100.00
ESC_HA1806AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	83.20	.	.	.	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1818AA_AS_abricate.tsv	29	100.00	.	97.36	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	97.99	.	100.00	.	.	.	99.68	.	.	100.00	100.00	92.45	.	.	.	.	.	.	.	.	100.00	.	.	.	99.83	100.00	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1825AA_AS_abricate.tsv	30	100.00	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	97.41	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	99.45	.	.	96.62	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1828AA_AS_abricate.tsv	24	100.00	.	100.00	.	.	.	.	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	83.20;98.77	.	.	.	.	100.00	99.28	.	.	100.00	95.81	100.00	100.00	.	100.00
ESC_HA1837AA_AS_abricate.tsv	35	100.00	.	.	98.58	.	.	.	100.00	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	99.93	100.00	.	.	99.68	99.96	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	99.83	100.00	.	.	96.62	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1848AA_AS_abricate.tsv	34	100.00	.	.	100.00	.	.	100.00	100.00	100.00	.	.	100.00	90.42	.	.	.	.	100.00	100.00	100.00	99.47	100.00	100.00	87.17	.	.	100.00	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	99.96	.	.	.	.	.	100.00	.	100.00	100.00	.	.	.	100.00	.	.	96.59	.	100.00	100.00	99.72	.	100.00	.	.	.	.	100.00
ESC_HA1875AA_AS_abricate.tsv	29	100.00	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	94.84	.	100.00	.	.	.	99.68	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	.	99.83	.	.	.	98.80	99.55	100.00	99.97	.	.	.	100.00	100.00	.	.	100.00
ESC_HA1884AA_AS_abricate.tsv	26	100.00	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	97.41	100.00	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	81.19	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1887AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	96.16	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	94.93	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1893AA_AS_abricate.tsv	18	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.33	.	.	100.00	.	.	100.00	.	100.00
ESC_HA1894AA_AS_abricate.tsv	25	100.00	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	97.41	100.00	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	81.19	.	.	99.76	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1896AA_AS_abricate.tsv	18	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	100.00	96.16	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	94.93	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1902AA_AS_abricate.tsv	18	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	99.71	.	.	.	.	100.00	100.00	.	100.00
ESC_HA1908AA_AS_abricate.tsv	19	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	97.48	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	98.95	.	.	.	.	.	.	.	.	.	.	99.76	.	.	100.00	.	.	100.00	.	100.00
ESC_HA1913AA_AS_abricate.tsv	19	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1918AA_AS_abricate.tsv	16	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	95.47	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.76	.	.	.	.	99.86	100.00	.	100.00
ESC_HA1923AA_AS_abricate.tsv	21	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1924AA_AS_abricate.tsv	26	100.00	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	97.41	100.00	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	81.19	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA1947AA_AS_abricate.tsv	27	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	99.04	.	.	96.62	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1952AA_AS_abricate.tsv	33	100.00	96.40	100.00	100.00;100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	99.62	.	99.93	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	100.00	.	84.79	.	98.95	.	.	.	99.83	100.00	.	.	.	.	100.00	99.76	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA1954AA_AS_abricate.tsv	22	100.00	.	100.00	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA2041AA_AS_abricate.tsv	23	100.00	.	.	83.02	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	99.68	99.96	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	99.76	.	.	.	.	.	100.00	.	100.00
ESC_HA2050AA_AS_abricate.tsv	21	100.00	.	.	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	99.93	.	.	.	99.68	99.96	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	99.76	.	.	.	.	.	.	.	100.00
ESC_HA2059AA_AS_abricate.tsv	34	100.00	.	100.00	81.04	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.47	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	.	96.55	99.47	100.00	99.12	.	.	.	.	100.00	.	100.00	100.00
ESC_HA2063AA_AS_abricate.tsv	26	100.00	.	.	.	.	.	100.00	100.00	.	89.72	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	100.00	99.68	.	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	.	85.15	.	.	.	.	100.00	.	.	.	.	100.00	81.51	80.08	.	.	.	.	.	.	100.00
ESC_HA2119AA_AS_abricate.tsv	23	100.00	.	88.08	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	99.93	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_HA2133AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2135AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2139AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2153AA_AS_abricate.tsv	28	100.00	.	.	100.00	.	.	.	99.75	.	.	.	100.00	100.00	.	.	100.00	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	94.84	.	100.00	100.00	.	.	99.68	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00;98.95	.	.	.	.	100.00	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA2166AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2167AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2172AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2174AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2176AA_AS_abricate.tsv	23	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_HA2177AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2184AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2185AA_AS_abricate.tsv	23	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00
ESC_HA2229AA_AS_abricate.tsv	30	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	.	.	100.00	.	.	100.00	.	.	.	99.93	.	.	100.00	99.68;100.00	99.96	.	100.00	100.00	100.00	.	.	.	.	.	99.73	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	99.76	.	.	100.00	.	100.00	100.00	.	100.00
