barcode	ST
ESC_SA7169AA_AS	29
ESC_OA7518AA_AS	29
ESC_MB1817AA_AS	29
ESC_PA1990AA_AS	300
ESC_MB8718AA_AS	300
ESC_AB9034AA_AS	300
ESC_PA1354AA_AS	300
ESC_GA3932AA_AS	306
ESC_FB7817AA_AS	306
ESC_PA2760AA_AS	32
ESC_HB8625AA_AS	345
ESC_MB9024AA_AS	354
ESC_DB2591AA_AS	3580
ESC_ZA2185AA_AS	372
ESC_BB0921AA_AS	372
ESC_TA7233AA_AS	38
ESC_FB6131AA_AS	38
ESC_FB2798AA_AS	394
ESC_LA0286AA_AS	394
ESC_LB9526AA_AS	394
ESC_LB3287AA_AS	398
ESC_MA4005AA_AS	4
ESC_PA7854AA_AS	4
ESC_WA8948AA_AS	4
ESC_LA2907AA_AS	405
ESC_GA0050AA_AS	405
ESC_BA2696AA_AS	43
ESC_PA0851AA_AS	443
ESC_LA6172AA_AS	443
ESC_WA6843AA_AS	448
ESC_QA5606AA_AS	448
ESC_MB0515AA_AS	453
ESC_BA7491AA_AS	453
ESC_FB3755AA_AS	46
ESC_IB6148AA_AS	540
ESC_JB8248AA_AS	540
ESC_IB8700AA_AS	56
ESC_WA8278AA_AS	56
ESC_GB2642AA_AS	56
ESC_GA6832AA_AS	58
ESC_SA9307AA_AS	58
ESC_RA3913AA_AS	583
ESC_UA7340AA_AS	583
ESC_GA3830AA_AS	583
ESC_MB2457AA_AS	602
ESC_WA4941AA_AS	602
ESC_SB6001AA_AS	617
ESC_BA4574AA_AS	62
ESC_UA6504AA_AS	62
ESC_PA8984AA_AS	635
ESC_NB4304AA_AS	635
ESC_SA6213AA_AS	635
ESC_LB8504AA_AS	641
ESC_BB2752AA_AS	641
ESC_UA6079AA_AS	655
ESC_ZA5593AA_AS	675
ESC_WA4401AA_AS	69
ESC_NB5720AA_AS	69
ESC_NB4484AA_AS	69
ESC_MB1882AA_AS	69
ESC_IA9325AA_AS	73
ESC_VA3687AA_AS	744
ESC_LB7019AA_AS	746
ESC_IA6327AA_AS	746
ESC_ZA4584AA_AS	746
ESC_UA5618AA_AS	752
ESC_LB9609AA_AS	906
ESC_KB1917AA_AS	906
ESC_GA3583AA_AS	906
ESC_QA4979AA_AS	95
ESC_HA7238AA_AS	998
ESC_KB4025AA_AS	998
ESC_WA4496AA_AS	154
ESC_QA3376AA_AS	162
ESC_EB6917AA_AS	145
ESC_MB2542AA_AS	155
ESC_RA4380AA_AS	1079
ESC_UA9678AA_AS	11
ESC_GA0883AA_AS	146
ESC_ZA9968AA_AS	100
ESC_PA9497AA_AS	141
ESC_FB3562AA_AS	1193
ESC_RA9127AA_AS	156
ESC_NA3073AA_AS	1196
ESC_WA6665AA_AS	100
ESC_MB1908AA_AS	167
ESC_OA0572AA_AS	17
ESC_YA9388AA_AS	17
ESC_NB8081AA_AS	182
ESC_FA5508AA_AS	1967
ESC_HA4019AA_AS	21
ESC_CB4022AA_AS	21
ESC_WA3666AA_AS	21
ESC_LB5727AA_AS	223
ESC_NB5645AA_AS	223
ESC_PB9305AA_AS	25
ESC_ZA6131AA_AS	297
ESC_WA8042AA_AS	32
ESC_GB4075AA_AS	342
ESC_SA0380AA_AS	342
ESC_WA6848AA_AS	345
ESC_DB1919AA_AS	3580
ESC_NB5530AA_AS	3580
ESC_UA1791AA_AS	3580
ESC_GB4007AA_AS	3580
ESC_ZA5441AA_AS	362
ESC_ZA5863AA_AS	398
ESC_MA4039AA_AS	4
ESC_GA8833AA_AS	40
ESC_BA5947AA_AS	40
ESC_NB5415AA_AS	410
ESC_NB5152AA_AS	428
ESC_LA1263AA_AS	453
ESC_GB8789AA_AS	457
ESC_IB9287AA_AS	457
ESC_NB6142AA_AS	46
ESC_MA3769AA_AS	46
ESC_CA2264AA_AS	540
ESC_SA9312AA_AS	540
ESC_RA2408AA_AS	542
ESC_IA7118AA_AS	542
ESC_HA2309AA_AS	56
ESC_PA8772AA_AS	59
ESC_FB4114AA_AS	617
ESC_PA8907AA_AS	617
ESC_FB2856AA_AS	62
ESC_MA0292AA_AS	62
ESC_IA8979AA_AS	648
ESC_HA5051AA_AS	69
ESC_BB2586AA_AS	69
ESC_HA1652AA_AS	73
ESC_BA7117AA_AS	73
ESC_FB3482AA_AS	744
ESC_HA9734AA_AS	744
ESC_SA9445AA_AS	746
ESC_GB8865AA_AS	746
ESC_IA9198AA_AS	746
ESC_KB8423AA_AS	752
ESC_IB7995AA_AS	752
ESC_RA2886AA_AS	90
ESC_FA5739AA_AS	906
ESC_NB6913AA_AS	10
ESC_FB4543AA_AS	154
ESC_FB7640AA_AS	1196
ESC_SA5266AA_AS	1025
ESC_CA6200AA_AS	127
ESC_OB5406AA_AS	162
ESC_LA6012AA_AS	131
ESC_PA9000AA_AS	1060
ESC_BA0180AA_AS	12
ESC_TA2138AA_AS	154
ESC_KB9831AA_AS	10
ESC_HA5928AA_AS	131
ESC_SA8012AA_AS	131
ESC_WA9180AA_AS	10
ESC_IA8066AA_AS	167
ESC_EB7604AA_AS	145
ESC_HA5187AA_AS	167
ESC_LA5356AA_AS	182
ESC_PA9248AA_AS	1967
ESC_KB0956AA_AS	20
ESC_NB5024AA_AS	23
ESC_EB6168AA_AS	245
ESC_WA8005AA_AS	295
ESC_WA4494AA_AS	297
ESC_OB1669AA_AS	300
ESC_NB2572AA_AS	300
ESC_VA6871AA_AS	33
ESC_LA4818AA_AS	33
ESC_RA3273AA_AS	33
ESC_GB4288AA_AS	34
ESC_ZA9314AA_AS	342
ESC_JA5188AA_AS	354
ESC_GA5752AA_AS	354
ESC_GB3089AA_AS	354
ESC_DB2271AA_AS	3580
ESC_QA5408AA_AS	362
ESC_TA8813AA_AS	362
ESC_NB0453AA_AS	372
ESC_NA8219AA_AS	38
ESC_CA0026AA_AS	393
ESC_LB6957AA_AS	393
ESC_CA0261AA_AS	393
ESC_LB8077AA_AS	398
ESC_GB7784AA_AS	398
ESC_LB3042AA_AS	4
ESC_KA8869AA_AS	405
ESC_RA0686AA_AS	410
ESC_UA1863AA_AS	428
ESC_NB4658AA_AS	428
ESC_GB9771AA_AS	428
ESC_GB9772AA_AS	428
ESC_BA0501AA_AS	43
ESC_JA4059AA_AS	442
ESC_BA5568AA_AS	443
ESC_IA6062AA_AS	453
ESC_HB5571AA_AS	453
ESC_DB2375AA_AS	583
ESC_SA2736AA_AS	6
ESC_XA7334AA_AS	62
ESC_FB0839AA_AS	641
ESC_WA6594AA_AS	641
ESC_FA9836AA_AS	648
ESC_OA7450AA_AS	655
ESC_JA4635AA_AS	746
ESC_MB2058AA_AS	88
ESC_IB6275AA_AS	906
ESC_QA2371AA_AS	93
ESC_JB8253AA_AS	95
ESC_HA5636AA_AS	95
ESC_LB8133AA_AS	155
ESC_UA0261AA_AS	148
ESC_RA0225AA_AS	1193
ESC_KB3487AA_AS	100
ESC_JA0443AA_AS	131
ESC_EB6058AA_AS	1025
ESC_PA8269AA_AS	1196
ESC_IA2137AA_AS	1079
ESC_MB8765AA_AS	100
ESC_QA3931AA_AS	154
ESC_PA1953AA_AS	154
ESC_GA0919AA_AS	146
ESC_IB6808AA_AS	162
ESC_FA4806AA_AS	16
ESC_TA2590AA_AS	1079
ESC_CA0674AA_AS	146
ESC_WA2691AA_AS	117
ESC_PA8226AA_AS	1196
ESC_ZA5800AA_AS	127
ESC_GB5043AA_AS	1025
ESC_HB6092AA_AS	167
ESC_MA7522AA_AS	155
ESC_BA4647AA_AS	101
ESC_TA3915AA_AS	1193
ESC_NB6264AA_AS	162
ESC_LA0085AA_AS	155
ESC_PA2075AA_AS	165
ESC_LB5769AA_AS	101
ESC_EB8144AA_AS	148
ESC_OA6506AA_AS	16
ESC_GB7782AA_AS	100
ESC_PA9397AA_AS	17
ESC_RA9688AA_AS	17
ESC_LB0049AA_AS	182
ESC_NA9274AA_AS	189
ESC_RA1814AA_AS	189
ESC_CB4156AA_AS	1967
ESC_LB3091AA_AS	20
ESC_MB2616AA_AS	206
ESC_LA0350AA_AS	206
ESC_GA0133AA_AS	21
ESC_RA2569AA_AS	223
ESC_WA8440AA_AS	224
ESC_NB4237AA_AS	224
ESC_PB2440AA_AS	224
ESC_WA1913AA_AS	226
ESC_ZA5701AA_AS	226
ESC_RB1979AA_AS	23
ESC_UA2486AA_AS	23
ESC_SA9354AA_AS	243
ESC_SA1881AA_AS	245
ESC_GA9257AA_AS	25
ESC_SA7036AA_AS	278
ESC_CA0598AA_AS	29
ESC_OB9151AA_AS	297
ESC_BB2743AA_AS	297
ESC_LA5679AA_AS	300
ESC_ZA1641AA_AS	34
ESC_BB0594AA_AS	34
ESC_TA0904AA_AS	345
ESC_NB4153AA_AS	345
ESC_TA4471AA_AS	349
ESC_IA1951AA_AS	354
ESC_DB2016AA_AS	3580
ESC_DB2610AA_AS	372
ESC_LA1276AA_AS	38
ESC_MA2783AA_AS	38
ESC_LB0309AA_AS	38
ESC_PA1664AA_AS	38
ESC_HA8278AA_AS	393
ESC_BA9817AA_AS	393
ESC_CA1902AA_AS	393
ESC_MB2663AA_AS	398
ESC_UA1907AA_AS	399
ESC_ZA4680AA_AS	40
ESC_AA8773AA_AS	40
ESC_KB8613AA_AS	40
ESC_GB8687AA_AS	428
ESC_GB9770AA_AS	428
ESC_JA5289AA_AS	442
ESC_XA0543AA_AS	443
ESC_MA3878AA_AS	443
ESC_LA6154AA_AS	443
ESC_NB6431AA_AS	448
ESC_LA0175AA_AS	453
ESC_IB9036AA_AS	457
ESC_LA0788AA_AS	457
ESC_OA0102AA_AS	46
ESC_HA8113AA_AS	48
ESC_ZA6498AA_AS	540
ESC_KB1059AA_AS	540
ESC_HB7976AA_AS	56
ESC_FA6622AA_AS	56
ESC_GB3048AA_AS	58
ESC_CA3142AA_AS	583
ESC_FB2749AA_AS	59
ESC_FB2940AA_AS	59
ESC_FA8254AA_AS	6
ESC_CB2711AA_AS	6
ESC_XA1296AA_AS	602
ESC_RA2160AA_AS	602
ESC_LB2704AA_AS	635
ESC_PB2345AA_AS	641
ESC_UA0002AA_AS	641
ESC_NA3046AA_AS	641
ESC_PA8562AA_AS	648
ESC_JA4387AA_AS	675
ESC_HA6597AA_AS	69
ESC_MB6432AA_AS	718
ESC_BA4765AA_AS	73
ESC_NB3733AA_AS	744
ESC_LA0916AA_AS	746
ESC_QA3799AA_AS	752
ESC_IB7955AA_AS	88
ESC_LB3459AA_AS	90
ESC_MB0556AA_AS	90
ESC_OB1839AA_AS	90
ESC_CB9011AA_AS	906
ESC_QA1377AA_AS	93
ESC_ZA1214AA_AS	93
ESC_TA1816AA_AS	998
ESC_CA1687AA_AS	998
ESC_RA7486AA_AS	11
ESC_KB6207AA_AS	100
ESC_HA2063AA_AS	127
ESC_EB7999AA_AS	1025
ESC_KB6209AA_AS	100
ESC_CA2504AA_AS	101
ESC_IB8396AA_AS	100
ESC_OA9340AA_AS	1060
ESC_IB5830AA_AS	101
ESC_IB6542AA_AS	100
ESC_BB2706AA_AS	167
ESC_WA9449AA_AS	145
ESC_QA4092AA_AS	16
ESC_CA4185AA_AS	127
ESC_UA9690AA_AS	1079
ESC_TA9158AA_AS	145
ESC_TA3916AA_AS	1193
ESC_IB8741AA_AS	162
ESC_ZA5990AA_AS	165
ESC_XA7454AA_AS	100
ESC_LA2645AA_AS	12
ESC_BA1826AA_AS	10
ESC_NB7832AA_AS	11
ESC_YA7388AA_AS	1193
ESC_SA6639AA_AS	145
ESC_EB6499AA_AS	1025
ESC_GA1037AA_AS	146
ESC_SA5295AA_AS	16
ESC_HB5678AA_AS	100
ESC_IA7696AA_AS	16
ESC_KB8689AA_AS	20
ESC_OB6260AA_AS	20
ESC_UA2455AA_AS	20
ESC_ZA5989AA_AS	206
ESC_IA4063AA_AS	224
ESC_EB9035AA_AS	243
ESC_FA7611AA_AS	243
ESC_EB6270AA_AS	245
ESC_CB2473AA_AS	245
ESC_MA8888AA_AS	278
ESC_HB8715AA_AS	278
ESC_SB5962AA_AS	278
ESC_CA4526AA_AS	300
ESC_MB6261AA_AS	306
ESC_HA2582AA_AS	306
ESC_ZA5589AA_AS	32
ESC_KA2408AA_AS	32
ESC_SA7821AA_AS	33
ESC_PA7786AA_AS	33
ESC_GB1650AA_AS	33
ESC_HA1924AA_AS	34
ESC_WA4647AA_AS	345
ESC_TA0912AA_AS	345
ESC_CB7728AA_AS	345
ESC_KB9049AA_AS	349
ESC_IA4094AA_AS	354
ESC_UA1982AA_AS	3580
ESC_UA2154AA_AS	3580
ESC_KB9796AA_AS	362
ESC_MB6819AA_AS	372
ESC_NB5733AA_AS	372
ESC_WA5744AA_AS	372
ESC_WA6908AA_AS	38
ESC_XA8529AA_AS	393
ESC_CA5502AA_AS	393
ESC_MA4082AA_AS	4
ESC_SA2274AA_AS	4
ESC_RB8797AA_AS	405
ESC_YA6221AA_AS	410
ESC_WA7443AA_AS	410
ESC_NB6064AA_AS	410
ESC_QA3454AA_AS	428
ESC_KB3936AA_AS	43
ESC_IB5985AA_AS	442
ESC_SA6461AA_AS	448
ESC_FB9249AA_AS	448
ESC_FB4845AA_AS	453
ESC_LB0141AA_AS	457
ESC_CB6985AA_AS	46
ESC_CB3977AA_AS	46
ESC_CB4057AA_AS	48
ESC_LA0763AA_AS	48
ESC_UA1900AA_AS	48
ESC_CA6349AA_AS	540
ESC_MB2169AA_AS	542
ESC_IA3805AA_AS	542
ESC_RA1808AA_AS	56
ESC_MA2650AA_AS	56
ESC_PB1063AA_AS	57
ESC_GA1882AA_AS	583
ESC_PA8726AA_AS	59
ESC_FB2676AA_AS	59
ESC_CA3307AA_AS	62
ESC_HA3403AA_AS	62
ESC_FB7828AA_AS	648
ESC_YA3786AA_AS	73
ESC_YA3534AA_AS	744
ESC_IA4946AA_AS	746
ESC_QA3783AA_AS	88
ESC_BB2669AA_AS	88
ESC_PA2004AA_AS	906
ESC_RA7116AA_AS	95
ESC_HA6411AA_AS	95
ESC_HA0689AA_AS	95
ESC_YA3445AA_AS	95
ESC_UA0998AA_AS	998
ESC_BA0338AA_AS	998
ESC_UA8003AA_AS	20
ESC_EB9940AA_AS	148
ESC_QA4965AA_AS	1967
ESC_UA1928AA_AS	117
ESC_GB4192AA_AS	155
ESC_GA0907AA_AS	146
ESC_KB1315AA_AS	1079
ESC_GA5757AA_AS	167
ESC_KB3898AA_AS	127
ESC_LA0134AA_AS	206
ESC_EB8993AA_AS	148
ESC_LA4503AA_AS	16
ESC_GA0866AA_AS	146
ESC_GA0321AA_AS	12
ESC_CA3807AA_AS	10
ESC_MB2627AA_AS	189
ESC_QA2359AA_AS	21
ESC_WA8024AA_AS	223
ESC_AA9637AA_AS	223
ESC_EB8773AA_AS	243
ESC_SA3987AA_AS	245
ESC_EB9876AA_AS	245
ESC_CA7057AA_AS	25
ESC_NA2718AA_AS	278
ESC_WA5019AA_AS	295
ESC_UA5427AA_AS	300
ESC_CA3500AA_AS	300
ESC_CA2950AA_AS	300
ESC_BB7561AA_AS	300
ESC_NB8599AA_AS	306
ESC_RA1433AA_AS	349
ESC_IA7194AA_AS	354
ESC_UA1931AA_AS	3580
ESC_VA3685AA_AS	362
ESC_NB4146AA_AS	372
ESC_QA5205AA_AS	38
ESC_CA0367AA_AS	393
ESC_LA2780AA_AS	394
ESC_ZA5337AA_AS	398
ESC_CA1082AA_AS	4
ESC_HA6796AA_AS	405
ESC_RA0542AA_AS	410
ESC_NB6086AA_AS	410
ESC_IB7814AA_AS	43
ESC_ZA6372AA_AS	448
ESC_FA9973AA_AS	457
ESC_JB0773AA_AS	48
ESC_UA1557AA_AS	540
ESC_PB8045AA_AS	57
ESC_GB6669AA_AS	57
ESC_LA6319AA_AS	58
ESC_CA2927AA_AS	59
ESC_WA3714AA_AS	6
ESC_MB7506AA_AS	602
ESC_HA9867AA_AS	617
ESC_HA1603AA_AS	617
ESC_IA2243AA_AS	62
ESC_HA3208AA_AS	635
ESC_RA7329AA_AS	641
ESC_YA6357AA_AS	648
ESC_GB3811AA_AS	648
ESC_FA9663AA_AS	73
ESC_LB6095AA_AS	746
ESC_UA5329AA_AS	746
ESC_LA0562AA_AS	746
ESC_NB0492AA_AS	88
ESC_MA3601AA_AS	88
ESC_PB2618AA_AS	998
ESC_BA2295AA_AS	146
ESC_QA7046AA_AS	21
ESC_IB0311AA_AS	145
ESC_GB5190AA_AS	1025
ESC_TA2586AA_AS	1079
ESC_YA6145AA_AS	100
ESC_HA7712AA_AS	127
ESC_OB3860AA_AS	167
ESC_KB0205AA_AS	148
ESC_VA6762AA_AS	154
ESC_SA7215AA_AS	16
ESC_BA8561AA_AS	1967
ESC_IA6507AA_AS	189
ESC_GA5710AA_AS	17
ESC_GA6527AA_AS	11
ESC_VA9412AA_AS	127
ESC_NB4590AA_AS	141
ESC_ZA5944AA_AS	1196
ESC_BA7942AA_AS	1079
ESC_TA3847AA_AS	1193
ESC_KB3961AA_AS	165
ESC_UA6577AA_AS	1193
ESC_BA0711AA_AS	12
ESC_CA5964AA_AS	141
ESC_GB5255AA_AS	148
ESC_HA8530AA_AS	101
ESC_KB3462AA_AS	100
ESC_LA5670AA_AS	17
ESC_KA5260AA_AS	16
ESC_MB2060AA_AS	1196
ESC_CB4351AA_AS	1967
ESC_BA2156AA_AS	146
ESC_WA6660AA_AS	100
ESC_YA2238AA_AS	1060
ESC_GA1130AA_AS	146
ESC_GB9213AA_AS	148
ESC_GB3542AA_AS	226
ESC_NB5188AA_AS	23
ESC_WA6606AA_AS	23
ESC_GB9117AA_AS	243
ESC_EB9589AA_AS	243
ESC_EB8002AA_AS	243
ESC_SA4281AA_AS	245
ESC_GB7182AA_AS	29
ESC_WA3936AA_AS	295
ESC_HA8250AA_AS	297
ESC_CB5000AA_AS	300
ESC_OB1636AA_AS	300
ESC_SA9288AA_AS	306
ESC_HA9103AA_AS	306
ESC_MA3335AA_AS	306
ESC_GB3422AA_AS	34
ESC_NB4848AA_AS	345
ESC_IB9536AA_AS	3580
ESC_HB5696AA_AS	372
ESC_WA8953AA_AS	394
ESC_IA0640AA_AS	398
ESC_IB9541AA_AS	399
ESC_NB8207AA_AS	4
ESC_HA3135AA_AS	40
ESC_JA4027AA_AS	40
ESC_CB7199AA_AS	410
ESC_WA7480AA_AS	410
ESC_NB6059AA_AS	410
ESC_NB8499AA_AS	428
ESC_JB9531AA_AS	43
ESC_LA0580AA_AS	442
ESC_FA9623AA_AS	443
ESC_NB4223AA_AS	448
ESC_UA1538AA_AS	46
ESC_CB3941AA_AS	46
ESC_RB8820AA_AS	46
ESC_HA2509AA_AS	48
ESC_HB8027AA_AS	540
ESC_DB0607AA_AS	58
ESC_UA7343AA_AS	583
ESC_HA2133AA_AS	583
ESC_JB5485AA_AS	6
ESC_WA4674AA_AS	602
ESC_RA0599AA_AS	617
ESC_KB8508AA_AS	617
ESC_YA9437AA_AS	48
ESC_LB4024AA_AS	62
ESC_RA7367AA_AS	62
ESC_CA4555AA_AS	635
ESC_PA8780AA_AS	635
ESC_LB2646AA_AS	635
ESC_GA6661AA_AS	641
ESC_RA2431AA_AS	641
ESC_BA3942AA_AS	648
ESC_TA1781AA_AS	648
ESC_HA9592AA_AS	648
ESC_RA3805AA_AS	655
ESC_SA0197AA_AS	69
ESC_LB0976AA_AS	73
ESC_FA9733AA_AS	746
ESC_QA3864AA_AS	752
ESC_FB4821AA_AS	88
ESC_HA0651AA_AS	88
ESC_UA6960AA_AS	906
ESC_OB8123AA_AS	998
ESC_MA3721AA_AS	998
ESC_YA1355AA_AS	1196
ESC_RA1532AA_AS	117
ESC_CB8871AA_AS	100
ESC_CA4591AA_AS	1079
ESC_RA8873AA_AS	16
ESC_HB0449AA_AS	162
ESC_RA4626AA_AS	16
ESC_LB0554AA_AS	155
ESC_BA8241AA_AS	131
ESC_BB6252AA_AS	21
ESC_LA1618AA_AS	17
ESC_RA3363AA_AS	148
ESC_MB2036AA_AS	155
ESC_EB9749AA_AS	145
ESC_GB0281AA_AS	11
ESC_IA4000AA_AS	101
ESC_LA0475AA_AS	155
ESC_OA1372AA_AS	21
ESC_SA9641AA_AS	21
ESC_RA4369AA_AS	1079
ESC_VA3586AA_AS	1060
ESC_HA7955AA_AS	155
ESC_FB2044AA_AS	131
ESC_UA3654AA_AS	148
ESC_NA2806AA_AS	154
ESC_HA5191AA_AS	167
ESC_HA4671AA_AS	155
ESC_EB8240AA_AS	1025
ESC_HA8248AA_AS	12
ESC_LB8035AA_AS	1967
ESC_LA6526AA_AS	17
ESC_FB4018AA_AS	189
ESC_SA9338AA_AS	162
ESC_IA9343AA_AS	156
ESC_IA0184AA_AS	223
ESC_FA9807AA_AS	224
ESC_PA0892AA_AS	226
ESC_CB5043AA_AS	226
ESC_GB5270AA_AS	243
ESC_GB7381AA_AS	25
ESC_NB8560AA_AS	297
ESC_RA3615AA_AS	297
ESC_HA1002AA_AS	306
ESC_CA2856AA_AS	32
ESC_FB9137AA_AS	32
ESC_OA5113AA_AS	34
ESC_QA3774AA_AS	34
ESC_GB3458AA_AS	34
ESC_CB9916AA_AS	345
ESC_NB3715AA_AS	349
ESC_IB9542AA_AS	345
ESC_NA8253AA_AS	354
ESC_TA4125AA_AS	372
ESC_HA4092AA_AS	394
ESC_LA5769AA_AS	398
ESC_JB0428AA_AS	398
ESC_ZA6560AA_AS	405
ESC_IB6075AA_AS	410
ESC_UA2325AA_AS	410
ESC_WA7476AA_AS	410
ESC_UA1692AA_AS	428
ESC_SA2246AA_AS	442
ESC_RA9983AA_AS	453
ESC_FB4471AA_AS	457
ESC_FB3711AA_AS	46
ESC_HA2765AA_AS	48
ESC_ZA3486AA_AS	56
ESC_FA8244AA_AS	57
ESC_FB4785AA_AS	57
ESC_RA5090AA_AS	57
ESC_UA8009AA_AS	583
ESC_FA9738AA_AS	602
ESC_LB2688AA_AS	635
ESC_RA4815AA_AS	648
ESC_YA3197AA_AS	675
ESC_CB1690AA_AS	675
ESC_SA2817AA_AS	675
ESC_WA6757AA_AS	744
ESC_IB0096AA_AS	744
ESC_SA4042AA_AS	752
ESC_GA5294AA_AS	88
ESC_IA9471AA_AS	88
ESC_LA6032AA_AS	90
ESC_OB1842AA_AS	90
ESC_SA5403AA_AS	906
ESC_NA9482AA_AS	906
ESC_QA2651AA_AS	93
ESC_BA6160AA_AS	131
ESC_RA0109AA_AS	12
ESC_IB5868AA_AS	1079
ESC_ZA9177AA_AS	145
ESC_VA4704AA_AS	12
ESC_GA1044AA_AS	146
ESC_GA1019AA_AS	146
ESC_JA4353AA_AS	154
ESC_HA1923AA_AS	1196
ESC_RA1502AA_AS	1967
ESC_EB8103AA_AS	148
ESC_ZA4663AA_AS	101
ESC_VA6727AA_AS	101
ESC_KB4083AA_AS	12
ESC_NB0413AA_AS	165
ESC_UA7362AA_AS	20
ESC_HB6713AA_AS	11
ESC_OA1148AA_AS	11
ESC_PA0846AA_AS	182
ESC_EB6952AA_AS	145
ESC_MA2408AA_AS	10
ESC_HB9839AA_AS	100
ESC_SA5441AA_AS	145
ESC_RA3014AA_AS	17
ESC_SA1689AA_AS	17
ESC_QA3684AA_AS	101
ESC_LB2984AA_AS	20
ESC_IA1110AA_AS	16
ESC_FA4744AA_AS	1967
ESC_GB1488AA_AS	117
ESC_GA1032AA_AS	146
ESC_BA1268AA_AS	146
ESC_CB8902AA_AS	100
ESC_EB9791AA_AS	148
ESC_YA6171AA_AS	100
ESC_GB5943AA_AS	223
ESC_KB3738AA_AS	224
ESC_WA5054AA_AS	224
ESC_KB1928AA_AS	224
ESC_QA3841AA_AS	23
ESC_LA4727AA_AS	243
ESC_VA5370AA_AS	243
ESC_IA1326AA_AS	25
ESC_KB0834AA_AS	25
ESC_ZA6233AA_AS	278
ESC_JA1023AA_AS	29
ESC_QA2862AA_AS	295
ESC_HB8466AA_AS	295
ESC_CA3437AA_AS	300
ESC_QA2339AA_AS	32
ESC_SA3531AA_AS	33
ESC_LB2976AA_AS	34
ESC_JA9034AA_AS	342
ESC_DB2062AA_AS	349
ESC_SA9296AA_AS	362
ESC_HA7284AA_AS	362
ESC_CA1358AA_AS	362
ESC_SA0486AA_AS	362
ESC_IB8645AA_AS	372
ESC_AA8961AA_AS	393
ESC_HA3438AA_AS	393
ESC_YA6334AA_AS	393
ESC_FB2888AA_AS	394
ESC_ZA6610AA_AS	4
ESC_GA7595AA_AS	405
ESC_LA2703AA_AS	410
ESC_XA1317AA_AS	428
ESC_GB5846AA_AS	442
ESC_CA0851AA_AS	443
ESC_IA9472AA_AS	453
ESC_BA6026AA_AS	453
ESC_IA9719AA_AS	453
ESC_HA1887AA_AS	542
ESC_ZA3474AA_AS	56
ESC_ZA3440AA_AS	56
ESC_RA9774AA_AS	57
ESC_UA3322AA_AS	58
ESC_UA7395AA_AS	583
ESC_XA1199AA_AS	59
ESC_JB2845AA_AS	6
ESC_DB2201AA_AS	602
ESC_RA2090AA_AS	617
ESC_BA5773AA_AS	62
ESC_LB2666AA_AS	635
ESC_ZA5294AA_AS	641
ESC_LA0696AA_AS	648
ESC_OB9037AA_AS	675
ESC_NB9763AA_AS	718
ESC_MB6472AA_AS	718
ESC_UA0991AA_AS	718
ESC_ZA5586AA_AS	718
ESC_BA6294AA_AS	73
ESC_IB7468AA_AS	73
ESC_LA3012AA_AS	752
ESC_OB1156AA_AS	90
ESC_HA8706AA_AS	906
ESC_LA3008AA_AS	95
ESC_GB3038AA_AS	998
ESC_NB0520AA_AS	12
ESC_GA3779AA_AS	17
ESC_PA1657AA_AS	156
ESC_RA4407AA_AS	154
ESC_GB7031AA_AS	155
ESC_FB0727AA_AS	101
ESC_WA7980AA_AS	20
ESC_KA4077AA_AS	148
ESC_SA1655AA_AS	16
ESC_TA2583AA_AS	1079
ESC_LA0720AA_AS	224
ESC_ZA5741AA_AS	165
ESC_YA1282AA_AS	131
ESC_GA9724AA_AS	1967
ESC_ZA3490AA_AS	1079
ESC_BA3641AA_AS	12
ESC_OA1268AA_AS	23
ESC_RA2427AA_AS	117
ESC_IA1886AA_AS	189
ESC_SA4889AA_AS	11
ESC_LB5961AA_AS	1196
ESC_LB0210AA_AS	162
ESC_WA7944AA_AS	20
ESC_GA9387AA_AS	23
ESC_IA2134AA_AS	1079
ESC_UA1528AA_AS	1079
ESC_WA6723AA_AS	154
ESC_ZA5999AA_AS	206
ESC_BA0414AA_AS	11
ESC_CA0861AA_AS	155
ESC_PA3786AA_AS	1967
ESC_HA2792AA_AS	278
ESC_DB0681AA_AS	300
ESC_GA3817AA_AS	32
ESC_DB2464AA_AS	32
ESC_GB8890AA_AS	34
ESC_NB3991AA_AS	34
ESC_FA4650AA_AS	342
ESC_BA3325AA_AS	342
ESC_WA8139AA_AS	342
ESC_TA1513AA_AS	345
ESC_IB7387AA_AS	349
ESC_PA2140AA_AS	354
ESC_CB8865AA_AS	362
ESC_BA6395AA_AS	398
ESC_LB3016AA_AS	40
ESC_JA3892AA_AS	40
ESC_FB3696AA_AS	405
ESC_FB9796AA_AS	405
ESC_LA6072AA_AS	428
ESC_ZA5724AA_AS	43
ESC_NA7557AA_AS	442
ESC_LA6082AA_AS	443
ESC_FA9600AA_AS	443
ESC_ZA4552AA_AS	448
ESC_QA3763AA_AS	453
ESC_OA1292AA_AS	453
ESC_OB8129AA_AS	457
ESC_ZA6009AA_AS	48
ESC_IA7027AA_AS	48
ESC_ZA6140AA_AS	48
ESC_GB3050AA_AS	540
ESC_JB8103AA_AS	540
ESC_ZA5940AA_AS	540
ESC_ZA3473AA_AS	56
ESC_GB2637AA_AS	56
ESC_HA1780AA_AS	57
ESC_GB0124AA_AS	57
ESC_HA2174AA_AS	583
ESC_UA7348AA_AS	583
ESC_KA4471AA_AS	6
ESC_FA9742AA_AS	602
ESC_FA9521AA_AS	602
ESC_XA7300AA_AS	617
