#FILE	NUM_FOUND	NlpI_gi_218560235	afaC/draC/daaC_VFG045796	ag43-MS7163	ag43a_CFT073	cdtB_gi_117623644	chuA_gi_26250130	cirA_AE016763_105	cjrC_UTI89_RS25305	cnf1_gi_403299	csgE_gi_15801156	ecpC_gi_15799996	eitB_APECO1_RS26190	entS_gi_26246570	fecA_b4291	fepA_gi_26246561	fhuA_b0150	fhuE_b1102	fimD_gi_15804892	fiu_c0890	fliC(H4)_AJ536600.1	focH_gi_386638502	fyuA_gi_26248288	hbp/tsh_gi_3288154	hlyA_gi_386641997	hlyF_APECO1_O1CoBM189	hma_gi_26248334	hra1_AAC13751	ibeA_gi_18152905	ibeB_gi_4835717	iha_gi_78057505	ireA_gi_26250982	iroN_gi_26247124	iss_SPG000143	iutA_gi_26249458	kpsD_gi_409035	nhaA_GeneID:944758	ompA_gi_7188818	ompT_SPG000077	papC_gi_26249425	papGIII_ABE1029	papGII_AAN82031	pixC_gi_30524679	sat_gi_26249454	sisA_AE016766_93	sitA_gi_386618823	tcpC_gi_26248250	traJ_gi_150860	traT_SPG000097	uclC_ABE10308	upaB_ECP_0379	upaC/ehaB_VFG045825	upaG/ehaG_beta	upaI_ECP_2276	usp_gi_386617620	vat_gi_386605757	yadV_b0140	ydeT_AE016760_251	yehC_b2110	yqiH_c3793	znuB_AAC74929
ESC_CA4360AA_abricate.tsv	38	100.00	.	.	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	100.00	.	.	.	100.00	.	100.00	99.68;100.00	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4361AA_abricate.tsv	44	100.00	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4366AA_abricate.tsv	37	100.00	100.00	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	.	.	.	99.68	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	80.36	100.00	.	.	.	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4368AA_abricate.tsv	41	100.00	100.00	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	100.00	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	96.46;80.56	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00
ESC_CA4369AA_abricate.tsv	40	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	99.62	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4371AA_abricate.tsv	42	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.74	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4374AA_abricate.tsv	40	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	99.62	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4379AA_abricate.tsv	38	100.00	100.00	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	.	.	.	99.68	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	80.56	100.00	.	.	99.04	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	96.53	100.00
ESC_CA4380AA_abricate.tsv	43	100.00	.	100.00;100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	99.62	99.93	100.00	100.00	.	.	99.68	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	96.07;100.00	100.00	.	.	99.04	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4381AA_abricate.tsv	38	100.00	100.00	100.00;100.00;100.00;100.00	95.18	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	.	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	.	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.75	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4382AA_abricate.tsv	41	100.00	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	100.00	99.74	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4383AA_abricate.tsv	35	100.00	.	85.28	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	99.93	100.00	.	.	.	99.68	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	.	99.04	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4384AA_abricate.tsv	42	100.00	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4385AA_abricate.tsv	41	100.00	100.00	.	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	100.00	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	96.46;81.13	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00
ESC_CA4386AA_abricate.tsv	42	100.00	100.00	100.00	100.00;100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	99.62	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4387AA_abricate.tsv	42	100.00	100.00	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	.	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	80.94	100.00	.	.	99.04	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4388AA_abricate.tsv	33	100.00	.	100.00	.	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	100.00	99.64	100.00	100.00	100.00	.	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	.	99.96	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4389AA_abricate.tsv	36	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	.	.	.	99.68	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	80.75	100.00	.	.	99.04	.	99.74	100.00	100.00	80.24	100.00	.	100.00	100.00	100.00	96.53	100.00
ESC_CA4390AA_abricate.tsv	37	100.00	100.00	100.00	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	.	.	.	99.68	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	81.32	100.00	.	.	99.04	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	96.53	100.00
ESC_CA4391AA_abricate.tsv	33	100.00	.	100.00	.	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	100.00	99.64	100.00	100.00	100.00	.	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	.	99.96	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	.	98.77	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4392AA_abricate.tsv	41	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00;84.77	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4393AA_abricate.tsv	41	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4394AA_abricate.tsv	44	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	94.84	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00;100.00	100.00	.	.	100.00	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4395AA_abricate.tsv	44	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	94.84	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00;100.00	100.00	.	.	86.34	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4396AA_abricate.tsv	44	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	94.84	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00;100.00	100.00	.	.	100.00	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4397AA_abricate.tsv	42	100.00	100.00	93.76;100.00	93.44	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	100.00	100.00	.	.	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	80.75	100.00	.	.	99.04	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4398AA_abricate.tsv	43	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	94.84	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00;100.00	100.00	.	.	100.00	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4399AA_abricate.tsv	43	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	94.84	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00;100.00	100.00	.	.	100.00	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4401AA_abricate.tsv	45	99.44	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4402AA_abricate.tsv	40	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4403AA_abricate.tsv	41	100.00	.	.	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	100.00	100.00	94.84	99.93	100.00	.	.	100.00	99.68;100.00	99.96	100.00	100.00	100.00	82.29	100.00	100.00	.	.	.	100.00	.	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4404AA_abricate.tsv	40	100.00	.	.	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00;100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4405AA_abricate.tsv	41	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	99.93	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4406AA_abricate.tsv	39	100.00	100.00	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	96.76;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	81.03;98.95	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4407AA_abricate.tsv	41	100.00	100.00	100.00	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	99.62	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.94	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4408AA_abricate.tsv	41	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	99.62	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	81.03	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4409AA_abricate.tsv	39	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	99.96	100.00	100.00	100.00
ESC_CA4410AA_abricate.tsv	39	100.00	.	100.00	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4411AA_abricate.tsv	39	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;95.47	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	93.40	100.00	100.00	100.00
ESC_CA4412AA_abricate.tsv	38	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.94	100.00	.	.	.	.	99.74	100.00	100.00	100.00	100.00	.	100.00	99.96	100.00	100.00	100.00
ESC_CA4413AA_abricate.tsv	43	99.44	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4414AA_abricate.tsv	45	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4415AA_abricate.tsv	36	100.00	100.00	.	.	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	.	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	.	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.75	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4416AA_abricate.tsv	39	100.00	100.00	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.75	100.00	.	.	.	.	99.74	100.00	100.00	100.00	100.00	.	100.00	99.96	100.00	100.00	100.00
ESC_CA4417AA_abricate.tsv	44	100.00	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4418AA_abricate.tsv	45	100.00	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4419AA_abricate.tsv	40	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	99.83	86.34	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4420AA_abricate.tsv	40	100.00	100.00	100.00;100.00;100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.75	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	99.96	100.00	100.00	100.00
ESC_CA4421AA_abricate.tsv	40	100.00	.	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4423AA_abricate.tsv	39	100.00	.	.	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	96.76;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4424AA_abricate.tsv	44	100.00	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4425AA_abricate.tsv	39	100.00	100.00	100.00	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	81.61	100.00	.	.	.	.	99.74	100.00	100.00	100.00	100.00	.	100.00	99.96	100.00	100.00	100.00
ESC_CA4426AA_abricate.tsv	43	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.74	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4427AA_abricate.tsv	40	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	98.95;80.75	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4428AA_abricate.tsv	42	100.00	100.00	100.00	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	100.00	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	96.46;80.94	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4429AA_abricate.tsv	39	100.00	.	.	100.00	.	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	99.83	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4430AA_abricate.tsv	44	100.00	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	100.00	.	100.00	.	.	.	100.00	94.84	.	100.00	100.00	.	.	99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	.	100.00	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
ESC_CA4431AA_abricate.tsv	37	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	.	100.00	.	100.00	99.64	100.00	100.00	100.00	.	.	100.00	.	.	.	100.00	.	.	100.00	100.00	.	.	.	99.96	100.00	100.00	100.00	100.00	.	.	.	.	100.00	80.75	100.00	.	.	100.00	.	99.74	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00
ESC_CA4441AA_abricate.tsv	43	100.00	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.64	100.00	100.00	100.00	95.33	.	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	.	99.68;99.68	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	.	99.83	.	100.00	99.74	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00
