Assembly_barcode	year_range	year_range_colour	Disease	Disease_color	Isolate source	isolate_source_colour	Capsule_color	Best match locus	Continent	continent_color
ESC_MB1927AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_MB1912AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	KL16	Asia	#1f78b4
ESC_MB1911AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	KL16	Asia	#1f78b4
ESC_MB1908AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_MB1907AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_MB1905AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#d5d36e	KL9	Asia	#1f78b4
ESC_MB3343AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_MB3664AA_AS	2015-2019	#fdae61	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_MB4772AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_MB4714AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MB7694AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MB7693AA_AS	2015-2019	#fdae61	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NB8797AA_AS	NA	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_MB9117AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MB9104AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_MB9092AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_MB8914AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	North America	#33a02c
ESC_MB8889AA_AS	2015-2019	#fdae61	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_MB8856AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NB3698AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_NB6748AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	KL16	North America	#33a02c
ESC_NB6057AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#FB9A99	KL55	Europe	#a6cee3
ESC_NB5989AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL125	Europe	#a6cee3
ESC_NB4381AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_NB4372AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL31	Europe	#a6cee3
ESC_NB4357AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_NB4251AA_AS	2010-2014	#1f78b4	other	#afafaf	Animal	#7fc97f	#6A3D9A	KL20	Europe	#a6cee3
ESC_NB4235AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#FB9A99	KL55	Europe	#a6cee3
ESC_NB4215AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_NB5948AA_AS	2010-2014	#1f78b4	blood	red	Human	#fdc086	#aac201	KL121	Asia	#1f78b4
ESC_NB5311AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	KL31	Asia	#1f78b4
ESC_NB8219AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_OB3907AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_OB3657AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#0835fd	KL53	North America	#33a02c
ESC_OB3653AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_OB3642AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_OB3861AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_OB3860AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_OB3859AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_OB4724AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_PB2475AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Africa	#b2df8a
ESC_PB2326AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#CAB2D6	KL123	North America	#33a02c
ESC_PB2322AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#CAB2D6	KL123	North America	#33a02c
ESC_PB2594AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Africa	#b2df8a
ESC_PB2565AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	KL60	Africa	#b2df8a
ESC_QB0404AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_QB2896AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_QB3159AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_QB3155AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_RB3873AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#abf186	KL14	North America	#33a02c
ESC_RB3984AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_RB3977AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_RB8301AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_RB8282AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_RB8281AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_RB8821AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_RB8809AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_RB8804AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_RB9911AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#CAB2D6	KL123	Europe	#a6cee3
ESC_RB8801AA_AS	NA	white	rectal	#bf812d	Human	#fdc086	#d5d36e	KL9	Europe	#a6cee3
ESC_RB8800AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_RB9910AA_AS	NA	white	rectal	#bf812d	Human	#fdc086	#005A9C	KL115	Europe	#a6cee3
ESC_RB8794AA_AS	NA	white	other	#afafaf	Animal	#7fc97f	#35978f	KL48	Europe	#a6cee3
ESC_RB8793AA_AS	NA	white	other	#afafaf			#4695f0	KL103	Europe	#a6cee3
ESC_RB8792AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	Europe	#a6cee3
ESC_RB8746AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_SB0873AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_SB0872AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_SB0869AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_SB0868AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_SB0867AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_SB0865AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_TB3850AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB3853AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB3857AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB3888AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB3890AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4037AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4063AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4064AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4078AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4087AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4088AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4090AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_TB4097AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_UB1017AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_UB1016AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_UB2526AA_AS	NA	white	other	#afafaf			#abf186	KL14	Europe	#a6cee3
ESC_UB2516AA_AS	NA	white	other	#afafaf			#afafaf	KL31	Europe	#a6cee3
ESC_UB2470AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	Europe	#a6cee3
ESC_UB4126AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#3dfc7d	KL30	Europe	#a6cee3
ESC_UB4121AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#E31A1C	KL57	Europe	#a6cee3
ESC_UB4111AA_AS	2015-2019	#fdae61	other	#afafaf			#ffe119	KL5	Europe	#a6cee3
ESC_UB3833AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#E31A1C	KL57	Europe	#a6cee3
ESC_UB4709AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_UB6618AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_UB6611AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_VB0005AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_VB1381AA_AS	2020-2024	#d73027	other	#afafaf			#FF7F00	KL35	Europe	#a6cee3
ESC_VB1727AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_VB1702AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_VB2175AA_AS	2015-2019	#fdae61	other	#afafaf			#CAB2D6	KL123	North America	#33a02c
ESC_VB2646AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_VB2545AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_VB2487AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	Asia	#1f78b4
ESC_VB2485AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#abf186	KL14	Asia	#1f78b4
ESC_VB2368AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_WB4964AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_WB4906AA_AS	2010-2014	#1f78b4	other	#afafaf			black	KL124	Europe	#a6cee3
ESC_VB5557AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	North America	#33a02c
ESC_VB4822AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL125	NA	NA
ESC_VB6211AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_VB6212AA_AS	2015-2019	#fdae61	other	#afafaf			#abf186	KL14	NA	NA
ESC_VB6221AA_AS	2015-2019	#fdae61	other	#afafaf			#abf186	KL14	NA	NA
ESC_VB6226AA_AS	2015-2019	#fdae61	other	#afafaf			#abf186	KL14	NA	NA
ESC_VB6822AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_VB6778AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_VB6764AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#d37505	KL114	Asia	#1f78b4
ESC_VB6738AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_VB7255AA_AS	2015-2019	#fdae61	other	#afafaf			#4695f0	KL103	Africa	#b2df8a
ESC_VB7632AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	North America	#33a02c
ESC_VB7734AA_AS	2010-2014	#1f78b4	other	#afafaf			#3dfc7d	KL30	Africa	#b2df8a
ESC_VB7730AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Africa	#b2df8a
ESC_VB7715AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Africa	#b2df8a
ESC_VB7714AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	Africa	#b2df8a
ESC_VB7697AA_AS	2010-2014	#1f78b4	rectal	#bf812d	Human	#fdc086	#6A3D9A	KL20	Africa	#b2df8a
ESC_VB9454AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#f553f0	KL39	Asia	#1f78b4
ESC_WB0135AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0134AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0237AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0236AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0235AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0234AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB5911AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0232AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0231AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0227AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0219AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0218AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0217AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0216AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0215AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB0207AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_WB0205AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_WB0203AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_WB2157AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#FF7F00	KL35	North America	#33a02c
ESC_WB2146AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#FF7F00	KL35	North America	#33a02c
ESC_WB2365AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_WB2440AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#35978f	KL48	North America	#33a02c
ESC_WB3891AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#abf186	KL14	Europe	#a6cee3
ESC_WB6457AA_AS	2015-2019	#fdae61	other	#afafaf			black	KL124	NA	NA
ESC_WB6450AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_WB6448AA_AS	2015-2019	#fdae61	other	#afafaf			#29c722	KL127	NA	NA
ESC_WB6446AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_WB6440AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_WB6530AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_WB6529AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_WB6518AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_WB6812AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Oceania	#e31a1c
ESC_WB6811AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#29c722	KL127	Oceania	#e31a1c
ESC_WB6672AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#CAB2D6	KL123	Europe	#a6cee3
ESC_WB6671AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#d5d36e	KL9	Europe	#a6cee3
ESC_WB7581AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL71	Asia	#1f78b4
ESC_WB7577AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL71	Asia	#1f78b4
ESC_WB7566AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_WB7553AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	Asia	#1f78b4
ESC_WB7549AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	Asia	#1f78b4
ESC_WB7547AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	Asia	#1f78b4
ESC_WB7544AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL31	Asia	#1f78b4
ESC_WB7541AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_WB7529AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_WB7498AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_WB7496AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#aac201	KL121	Asia	#1f78b4
ESC_WB7492AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_WB7491AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL71	Asia	#1f78b4
ESC_WB7479AA_AS	NA	white	other	#afafaf	Human	#fdc086	#d66384	KL101	Asia	#1f78b4
ESC_WB7279AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#3dfc7d	KL30	Europe	#a6cee3
ESC_WB7277AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#CAB2D6	KL123	Europe	#a6cee3
ESC_WB8212AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8208AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#d37505	KL114	Asia	#1f78b4
ESC_WB8195AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8190AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8162AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_WB8160AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_WB8119AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#0835fd	KL53	Asia	#1f78b4
ESC_WB8113AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_WB8100AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#CAB2D6	KL123	Asia	#1f78b4
ESC_WB8091AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8064AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8059AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8052AA_AS	2015-2019	#fdae61	rectal	#bf812d	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_WB8909AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#904f02	KL158	Europe	#a6cee3
ESC_WB9128AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_XB0829AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_XB0828AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_XB0827AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_XB1480AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_XB5384AA_AS	NA	white	other	#afafaf	Human	#fdc086	#E31A1C	KL57	Africa	#b2df8a
ESC_XB5242AA_AS	NA	white	other	#afafaf	Human	#fdc086	#29c722	KL127	Africa	#b2df8a
ESC_XB4542AA_AS	NA	white	other	#afafaf	Human	#fdc086	#E31A1C	KL57	Asia	#1f78b4
ESC_XB4535AA_AS	NA	white	other	#afafaf	Human	#fdc086	#afafaf	KL16	Asia	#1f78b4
ESC_XB4413AA_AS	NA	white	other	#afafaf	Human	#fdc086	#fd088e	KL54	Africa	#b2df8a
ESC_XB7059AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_XB7055AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_XB7053AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#CAB2D6	KL123	Europe	#a6cee3
ESC_XB7042AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_XB7035AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_XB7033AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL16	Europe	#a6cee3
ESC_XB7032AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	KL125	Europe	#a6cee3
ESC_XB9150AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_XB9146AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_YB1920AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#0835fd	KL53	Oceania	#e31a1c
ESC_YB1895AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1873AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Oceania	#e31a1c
ESC_YB1856AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1772AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1730AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1719AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#aac201	KL121	Oceania	#e31a1c
ESC_YB1696AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1694AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1687AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	KL137	Oceania	#e31a1c
ESC_YB1677AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Oceania	#e31a1c
ESC_YB1653AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Oceania	#e31a1c
