Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
ESC_FC0959AA_AS	KL20	K20	None	?-	67.35%	98.12%	n/a	9 / 18 (50%)	KL20_01_galF,99.331%;KL20_03_wzi,99.211%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_07_wbaP,99.58%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP;KL20_06_wzc;KL20_08_wzy;KL20_09;KL20_10_wcaN;KL20_11_wcaO;KL20_12;KL20_13_wbaZ;KL20_14_wzx	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC1958AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.18%	+393 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC3328AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.892%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		1	KL131_09_rmlB,80.226%
ESC_FC3329AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.20%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.307%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		1	KL131_09_rmlB,80.226%
ESC_FC3333AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC3894AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4167AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4333AA_AS	KL48	K48	None	?-	98.82%	98.85%	n/a	14 / 21 (66.7%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_07_wcaA,99.67%;KL48_09_wclL,99.265%;KL48_12_wckU,100.0%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_06_wzc;KL48_08_wcaJ;KL48_10_wzy;KL48_11_wcqD;KL48_13;KL48_14_wzx;KL48_15_wcqE	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4334AA_AS	KL124	unknown (KL124)	Good	?-	98.82%	97.21%	n/a	19 / 22 (86.4%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_06_wzc;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4376AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4404AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4410AA_AS	KL124	unknown (KL124)	None	?-+	85.45%	95.46%	n/a	15 / 22 (68.2%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%	KL124_02_cpsACP;KL124_17_wclK;KL124_18_rmlB;KL124_19_rmlA;KL124_20_rmlD;KL124_21_rmlC;KL124_22_ugd	1	KL131_09_rmlB,80.226%	0 / 22 (0%)		1	KL156-D1_01_galF,93.624%
ESC_FC4415AA_AS	KL124	unknown (KL124)	Good	?-	98.18%	97.22%	n/a	19 / 22 (86.4%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_13_wcuA;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4418AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4420AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.20%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4430AA_AS	KL124	unknown (KL124)	Good	?-	98.52%	97.21%	n/a	19 / 22 (86.4%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_09_wcuP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC4615AA_AS	KL30	K30	Good	?*	98.41%	95.87%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		1	KL131_09_rmlB,80.226%
ESC_FC4621AA_AS	KL10	K10	Low	?-	94.63%	95.34%	n/a	18 / 20 (90%)	KL10_01_galF,98.997%;KL10_02_cpsACP,95.714%;KL10_03_wzi,95.625%;KL10_04_wza,99.736%;KL10_05_wzb,98.621%;KL10_06_wzc,99.722%;KL10_07_wbaP,99.16%;KL10_08_wclQ,99.471%;KL10_09_wclP,99.231%;KL10_10_wzx,99.599%;KL10_11_wcuQ,99.496%;KL10_12_wcaN,96.834%;KL10_13_wcuK,98.521%;KL10_16_wbaZ,98.947%;KL10_17_gnd,98.721%;KL10_18_manC,97.246%;KL10_19_manB,97.155%;KL10_20_ugd,99.486%	KL10_14_wzy;KL10_15_wcsO	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC5302AA_AS	KL124	unknown (KL124)	Good	?-	98.82%	97.20%	n/a	19 / 22 (86.4%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_06_wzc;KL124_17_wclK	0		0 / 22 (0%)		1	KL131_09_rmlB,80.226%
ESC_FC5634AA_AS	KL107	unknown (KL107)	None	?-+*	75.94%	88.27%	n/a	10 / 16 (62.5%)	KL107_01_galF,98.997%;KL107_02_cpsACP,92.857%;KL107_03_wzi,96.234%;KL107_04_wza,92.8%;KL107_11_gnd,99.36%;KL107_12,98.873%;KL107_13,97.931%;KL107_14,99.327%;KL107_15,99.459%;KL107_16_ugd,99.743%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	3	KL48_06_wzc,99.722%;KL48_07_wcaA,99.634%;KL48_05_wzb,100.0%	0 / 16 (0%)		4	KL48_08_wcaJ,100.0%;KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC5636AA_AS	KL107	unknown (KL107)	None	?-+*	70.57%	82.74%	n/a	6 / 16 (37.5%)	KL107_01_galF,98.662%;KL107_02_cpsACP,93.333%;KL107_03_wzi,97.699%;KL107_04_wza,96.011%;KL107_11_gnd,97.655%;KL107_16_ugd,99.486%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10;KL107_12;KL107_13;KL107_14;KL107_15	4	KL125_06_wzc,95.961%;KL125_07_wbaP,93.067%;KL131_09_rmlB,80.226%;KL125_05_wzb,93.706%	0 / 16 (0%)		1	KL156-D1_01_galF,93.624%
ESC_FC5639AA_AS	KL5	K5	None	?-+*	63.14%	84.90%	n/a	7 / 19 (36.8%)	KL5_01_galF,98.662%;KL5_03_wzi,92.475%;KL5_04_wza,91.27%;KL5_16_gnd,99.574%;KL5_17_manC,100.0%;KL5_18_manB,99.344%;KL5_19_ugd,99.486%	KL5_02_cpsACP;KL5_05_wzb;KL5_06_wzc;KL5_07;KL5_08_wzx;KL5_09;KL5_10;KL5_11;KL5_12;KL5_13;KL5_14;KL5_15_wcaJ	2	KL121_06_wzc,99.722%;KL121_05_wzb,99.324%	0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC5640AA_AS	KL107	unknown (KL107)	None	?-+*	76.58%	87.48%	n/a	10 / 16 (62.5%)	KL107_01_galF,97.993%;KL107_03_wzi,96.444%;KL107_04_wza,95.733%;KL107_05_wzb,80.0%;KL107_11_gnd,99.147%;KL107_12,99.155%;KL107_13,97.931%;KL107_14,99.663%;KL107_15,98.378%;KL107_16_ugd,99.743%	KL107_02_cpsACP;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	1	KL124_06_wzc,99.171%	0 / 16 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC6191AA_AS	KL137	unknown (KL137)	Good	?	100.00%	99.67%	n/a	24 / 24 (100%)	KL137_01_galF,99.666%;KL137_02_cpsACP,99.524%;KL137_03_wzi,99.583%;KL137_04_wza,100.0%;KL137_05_wzb,100.0%;KL137_06_wzc,99.724%;KL137_07_wbaP,100.0%;KL137_08,100.0%;KL137_09,99.085%;KL137_10_wbaZ,99.742%;KL137_11_wcuS,99.315%;KL137_12_wzx,99.533%;KL137_13_wcqH,100.0%;KL137_14_wclK,99.713%;KL137_15_wzy,99.695%;KL137_16_wcuC,100.0%;KL137_17_gnd,100.0%;KL137_18_manC,99.576%;KL137_19,100.0%;KL137_20_rmlB,100.0%;KL137_21_rmlA,100.0%;KL137_22_rmlD,100.0%;KL137_23_rmlC,100.0%;KL137_24_ugd,99.486%		0		0 / 24 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC7668AA_AS	KL113	unknown (KL113)	None	?-+*	63.33%	85.94%	n/a	8 / 20 (40%)	KL113_01_galF,99.666%;KL113_03_wzi,94.142%;KL113_04_wza,93.122%;KL113_12,91.689%;KL113_17_gnd,99.787%;KL113_18_manC,99.788%;KL113_19_manB,99.562%;KL113_20_ugd,99.486%	KL113_02_cpsACP;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ	4	KL121_06_wzc,99.861%;KL121_15_wcaG,99.696%;KL121_05_wzb,99.324%;KL121_16_wcaH,99.281%	0 / 20 (0%)		3	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%;KL121_13_wcqU,100.0%
ESC_FC7671AA_AS	KL20	K20	Good	-	94.71%	98.35%	-1300 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.52%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC7904AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_FC8411AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.34%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GA0061AA_AS	KL103	unknown (KL103)	Good	?-	100.00%	98.70%	n/a	20 / 21 (95.2%)	KL103_01_galF,99.331%;KL103_02_cpsACP,98.095%;KL103_03_wzi,98.954%;KL103_04_wza,99.737%;KL103_05_wzb,100.0%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,100.0%;KL103_10,99.788%;KL103_11_wcaN,100.0%;KL103_12_wzy,100.0%;KL103_13_wcpL,99.2%;KL103_14_wcuT,98.917%;KL103_15_wzx,100.0%;KL103_16_gnd,99.36%;KL103_17_rmlB,100.0%;KL103_18_rmlA,99.31%;KL103_19_rmlD,99.663%;KL103_20_rmlC,100.0%;KL103_21_ugd,99.743%	KL103_06_wzc	0		0 / 21 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GA0305AA_AS	KL9	K9	Good	?-	98.70%	96.80%	n/a	18 / 19 (94.7%)	KL9_01_galF,98.997%;KL9_03_wzi,98.812%;KL9_04_wza,98.681%;KL9_05_wzb,99.31%;KL9_06_wzc,99.446%;KL9_07_wbaP,98.739%;KL9_08,98.68%;KL9_09,99.042%;KL9_10,98.21%;KL9_11,98.621%;KL9_12,98.387%;KL9_13_wzx,99.05%;KL9_14_gnd,99.574%;KL9_15_rmlB,98.873%;KL9_16_rmlA,97.917%;KL9_17_rmlD,99.327%;KL9_18_rmlC,97.838%;KL9_19_ugd,100.0%	KL9_02_cpsACP	0		0 / 19 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_GA5755AA_AS	KL20	K20	Good	-	94.56%	98.28%	-1301 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.289%
ESC_GA5756AA_AS	KL20	K20	Good	-	94.56%	98.28%	-1301 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.289%
ESC_GA5757AA_AS	KL20	K20	Good	-	94.56%	98.28%	-1301 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.289%
ESC_GA5758AA_AS	KL20	K20	Low	?-	94.46%	98.27%	n/a	16 / 18 (88.9%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP;KL20_10_wcaN	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.289%
